umbral,in_domain,out_of_domain,respondidas_correctas,abstenciones_incorrectas,abstenciones_correctas,indebidas
0.3,15,5,15,0,0,5
0.31,15,5,15,0,0,5
0.32,15,5,15,0,0,5
0.33,15,5,15,0,0,5
0.34,15,5,15,0,0,5
0.35,15,5,15,0,0,5
0.36,15,5,15,0,0,5
0.37,15,5,15,0,0,5
0.38,15,5,15,0,0,5
0.39,15,5,15,0,0,5
0.4,15,5,15,0,0,5
0.41,15,5,15,0,0,5
0.42,15,5,15,0,0,5
0.43,15,5,15,0,0,5
0.44,15,5,15,0,0,5
0.45,15,5,15,0,0,5
0.46,15,5,15,0,0,5
0.47,15,5,15,0,0,5
0.48,15,5,15,0,0,5
0.49,15,5,15,0,0,5
0.5,15,5,15,0,0,5
0.51,15,5,15,0,0,5
0.52,15,5,15,0,0,5
0.53,15,5,15,0,0,5
0.54,15,5,15,0,0,5
0.55,15,5,15,0,0,5
0.56,15,5,15,0,0,5
0.57,15,5,15,0,0,5
0.58,15,5,15,0,0,5
0.59,15,5,15,0,0,5
0.6,15,5,15,0,0,5
0.61,15,5,15,0,0,5
0.62,15,5,15,0,0,5
0.63,15,5,15,0,0,5
0.64,15,5,15,0,0,5
0.65,15,5,15,0,0,5
0.66,15,5,15,0,0,5
0.67,15,5,15,0,0,5
0.68,15,5,15,0,0,5
0.69,15,5,15,0,0,5
0.7,15,5,15,0,0,5
0.71,15,5,15,0,0,5
0.72,15,5,15,0,0,5
0.73,15,5,15,0,0,5
0.74,15,5,15,0,0,5
0.75,15,5,15,0,0,5
0.76,15,5,15,0,0,5
0.77,15,5,15,0,0,5
0.78,15,5,15,0,0,5
0.79,15,5,15,0,0,5
0.8,15,5,15,0,0,5
0.81,15,5,15,0,0,5
0.82,15,5,15,0,1,4
0.83,15,5,15,0,1,4
0.84,15,5,15,0,2,3
0.85,15,5,15,0,4,1
0.86,15,5,14,1,4,1
0.87,15,5,13,2,5,0
0.88,15,5,9,6,5,0
0.89,15,5,4,11,5,0
0.9,15,5,3,12,5,0
0.91,15,5,0,15,5,0
0.92,15,5,0,15,5,0
0.93,15,5,0,15,5,0
0.94,15,5,0,15,5,0
0.95,15,5,0,15,5,0
