ocid,fecha_compilacion,segmento_mes,tender_id,nomenclatura,descripcion,metodo_ocds,tipo_procedimiento,categoria,monto_referencial,moneda,monto_referencial_pen,fecha_convocatoria,n_postores_declarado,info_protegida_por_ley,presupuesto,comprador_id,comprador_nombre,archivo_mes,n_releases,fecha_primer_release,fecha_ultimo_release,departamento_raw,provincia_raw,distrito_raw,n_postores_filas,n_postores_unicos,n_adjudicaciones,monto_adjudicado,proveedores,proveedores_ids,n_contratos,monto_contratado,fecha_primer_contrato
ocds-dgv273-seacev3-1251581,2026-09-23T10:18:09.616866-05:00,2026-06,1251581,CP CON-SM-3-2025-GRP-GGR-C-CP-1,"CONTRATACION DEL SERVICIO DE CONSULTORIA PARA LA SUPERVISIÓN DE LA EJECUCIÓN DE LA OBRA MEJORAMIENTO DE LOS SERVICIOS DEPORTIVOS EN EL ESTADIO MUNICIPAL ¿FERNANDO ARAMBULO SANTIN¿ DE LA CIUDAD DE TAMBOGRANDE, DISTRITO DE TAMBO GRANDE - PROVINCIA DE PIURA - DEPARTAMENTO DE PIURA. CON CUI N°2310221",,Concurso Público para Consultoría,services,6741021.8,PEN,6741021.8,2026-06-12T16:20:00-05:00,,True,,PE-CONSUCODE-48,GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,2026-06,3,2026-09-21T09:59:34.072947-05:00,2026-09-23T10:18:09.616866-05:00,PIURA,PIURA,PIURA,0,0,0,,,,0,,
ocds-dgv273-seacev3-1251524,2026-09-23T10:18:09.498694-05:00,2026-08,1251524,LP-ABR-8-2026-INS-1,ADQUISICIÓN DE UNIFORME INSTITUCIONAL DE INVIERNO - VERANO PARA LOS TRABAJADORES DAMAS Y CABALLEROS DEL INSTITUTO NACIONAL DE SALUD - ITEM N° 01: UNIFORME INVIERNO - VERANO CABALLEROS DERIVADA DE LA LICITACIÓN PÚBLICA N° 2-2025-INS-1,,Licitación Pública Abreviada,goods,657513.52,PEN,657513.52,2026-08-04T19:12:00-05:00,19.0,False,,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,2026-08,2,2026-09-22T10:12:37.857253-05:00,2026-09-23T10:18:09.498694-05:00,LIMA,LIMA,CHORRILLOS,19,19,1,623978.43,SAMITEX SA,PE-RUC-20348511824,0,,
ocds-dgv273-seacev3-1251354,2026-09-23T10:18:08.790237-05:00,2026-08,1251354,LP-ABR-41-2026-DEC -MDCH-1,ADQUISICION DE MATERIALES DE CONSTRUCCION PARA EL PROYECTO MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ATENCION Y PROMOCION DE LAS FAMILIAS EN LA COMUNIDAD DE CCASA DEL DISTRITO DE CHALLHUAHUACHO PROVINCIA DE COTABAMBAS DEPARTAMENTO DE APURIMAC,,Licitación Pública Abreviada,goods,172150.0,PEN,172150.0,2026-08-26T09:27:00-05:00,8.0,False,,PE-CONSUCODE-374,MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO,2026-08,2,2026-09-22T10:12:37.755204-05:00,2026-09-23T10:18:08.790237-05:00,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,8,8,1,174900.0,MAXCEL PERU S.A.C.,PE-RUC-20613103822,0,,
ocds-dgv273-seacev3-1246613,2026-09-23T10:18:08.680230-05:00,2026-07,1246613,LP-ABR-4-2026-MDTM-CS-1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD PEATONAL EN LA AV. SIMON BOLIVAR DEL DISTRITO DE TAMBO DE MORA - PROVINCIA DE CHINCHA - DEPARTAMENTO DE ICA CUI 2502606 ¿ II ETAPA,,Licitación Pública Abreviada,works,635982.2,PEN,635982.2,2026-07-01T14:29:00-05:00,30.0,False,1240165.29,PE-CONSUCODE-1049,MUNICIPALIDAD DISTRITAL DE TAMBO DE MORA,2026-07,5,2026-09-03T10:51:02.475118-05:00,2026-09-23T10:18:08.680230-05:00,ICA,CHINCHA,TAMBO DE MORA,30,30,1,604183.09,CONSORCIO ALTA INGENIERIA S.A.C.,PE-RUC-20534378344,1,604183.09,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1243906,2026-09-23T10:18:08.617426-05:00,2026-08,1243906,LP-ABR-11-2026-EPS GRAU SA-GG-1,ADQUISICIÓN DE COMBUSTIBLE DIESEL B5 S-50 PARA LAS UNIDADES VEHICULAES VINCULADOS A LAS ACTIVIDADES DE DISTRIBUCION DE AGUA POTABLE EN EL MARCO DEL CONVENI N°038-2026/VIVIENDA/VMCS/PNSU/DE,,Licitación Pública Abreviada,goods,181260.0,PEN,181260.0,2026-08-24T16:45:00-05:00,2.0,False,,PE-CONSUCODE-2381,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO GRAU S.A.,2026-08,13,2026-08-25T10:17:45.025507-05:00,2026-09-23T10:18:08.617426-05:00,PIURA,PIURA,PIURA,2,2,1,228875.2,ESTACIONES DON BOSCO SOCIEDAD ANÓNIMA CERRADA,PE-RUC-20609721546,0,,
ocds-dgv273-seacev3-1241496,2026-09-23T10:18:08.606839-05:00,2026-08,1241496,LP-ABR-68-2026-C-MPC-1,"ADQUISICION DE EQUIPAMIENTO BIOMEDICO PARA LABORATORIO PARA EL PROYECTO (0173) MEJORAMIENTO Y AMPLIACION DE LA PROESTACION DEL SERVICIO DE SALUD DEL ESTABLECIMIENTO DE SALUD SAN PEDRO APV. PICCHU ALTO, DISTRITO DE CUSCO, PROVINCIA DE CUSCO-CUSCO.",,Licitación Pública Abreviada,goods,145550.0,PEN,145550.0,2026-08-17T11:35:00-05:00,25.0,False,,PE-CONSUCODE-749,MUNICIPALIDAD PROVINCIAL DEL CUSCO,2026-08,14,2026-08-18T10:20:57.853857-05:00,2026-09-23T10:18:08.606839-05:00,CUSCO,CUSCO,CUSCO,25,25,0,,,,0,,
ocds-dgv273-seacev3-1235697,2026-09-23T10:18:08.590743-05:00,2026-07,1235697,LP-ABR-5-2026-GRH/C-3,"EJECUCIÓN DE LA OBRA COMPLEMENTARIA, MEJORAMIENTO Y AMPLIACIÓN DE SISTEMA TELEMÁTICO RESPECTO A SUMINISTRO DE BIENES Y SERVICIO DE HIS PAC RIS DEL PROYECTO DE INVERSIÓN PUBLICA: ¿MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA DE LOS SERVICIOS DE SALUD DEL HOSPITAL REGIONAL HERMILIO VALDIZAN MEDRANO DE HUAN",,Licitación Pública Abreviada,works,3500366.24,PEN,3500366.24,2026-07-21T17:24:00-05:00,9.0,False,14001554.96,PE-CONSUCODE-40,GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL,2026-07,21,2026-07-22T10:32:06.903494-05:00,2026-09-23T10:18:08.590743-05:00,HUANUCO,HUANUCO,AMARILIS,9,9,1,3500396.24,CONSORCIO WINNER,PE-RUC-1819409,1,3500396.24,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1236098,2026-09-23T10:18:08.554506-05:00,2026-07,1236098,SIE-SIE-5-2026-HRL-OC-1,"ADQUISICIÓN DE PRODUCTO BIOLÓGICO INMUNOGLOBULINA HUMANA NORMAL, 5% INYECTABLE, 100 mL, PARA EL SERVICIO DE FARMACIA DEL HOSPITAL REGIONAL LAMBAYEQUE",open,Subasta Inversa Electrónica,goods,975000.0,PEN,975000.0,2026-07-22T09:17:00-05:00,5.0,False,,PE-CONSUCODE-200441,GOBIERNO REGIONAL DE LAMBAYEQUE - HOSPITAL REGIONAL LAMBAYEQUE,2026-07,15,2026-07-23T10:30:34.352081-05:00,2026-09-23T10:18:08.554506-05:00,LAMBAYEQUE,CHICLAYO,CHICLAYO,5,5,2,1699550.0,BLAU FARMACEUTICA PERU S.A.C. | DYSAC FARMA S.A.C.,PE-RUC-20601283353 | PE-RUC-20606948507,0,,
ocds-dgv273-seacev3-1233868,2026-09-23T10:18:08.486298-05:00,2026-07,1233868,CP-ABR-44-2026-GRA-SEDECENTRAL-1,CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA PARA LA  ELABORACIÓN DEL EXPEDIENTE TÉCNICO DEL PROYECTO ¿MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN SECUNDARIA EN I.E. PEDRO RUIZ GALLO DE CENTRO POBLADO LLOCHEGUA DISTRITO DE LLOCHEGUA DE LA PROVINCIA DE HUANTA DEL DEPARTAMENTO DE AYACUCHO¿ CON CUI N°2623800.,,Concurso Público Abreviado,services,410000.0,PEN,410000.0,2026-07-14T18:13:00-05:00,23.0,False,,PE-CONSUCODE-35,GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,2026-07,20,2026-07-15T10:31:01.248940-05:00,2026-09-23T10:18:08.486298-05:00,AYACUCHO,HUAMANGA,AYACUCHO,23,23,1,369000.0,CONSORCIO PEDRO RUIZ,PE-RUC-1824678,0,,
ocds-dgv273-seacev3-1241461,2026-09-23T10:18:08.450320-05:00,2026-08,1241461,CP-ABR-23-2026-CS-MDCH-1,"CONTRATACIÓN DEL SERVICIO DE FABRICACION E INSTALACION DE COBERTURA METALICA, PARA LA EJECUCION DEL PROYECTO ¿CREACION DEL SERVICIO DEL CENTRO RECREACIONAL, EDUCATIVO Y DESARROLLO CULTURAL EN LA COMUNIDAD DE HUANACOPAMPA DEL DISTRITO DE CHALLHUAHUACHO-COTABAMBAS-APURIMAC.",,Concurso Público Abreviado,services,395000.0,PEN,395000.0,2026-08-14T12:27:00-05:00,17.0,False,,PE-CONSUCODE-374,MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO,2026-08,17,2026-08-15T10:17:54.626885-05:00,2026-09-23T10:18:08.450320-05:00,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,17,17,1,327999.99,CONSORCIO ESDHA METALS,PE-RUC-1824777,0,,
